Name,Ticker,"Sub-Sector","Market Cap","Debt to Equity","Long Term Debt to Equity","Cash Conversion Cycle","Quick Ratio","Current Ratio","Interest Coverage Ratio","Working Capital Turnover Ratio","Net Income / Liabilities","Earning Power"
KHFM Hospitality and Facility Management Services Ltd,KHFM,"Business Support Services","211.91676485","113.10391978122152","26.504102096627168",,"1.706044460775308","1.7064119051993387","1.8480300187617256",,"4.736048265460027","8.939916500272279"
Prima Plastics Ltd,PRIMAPLA,"Housewares","211.81404985","23.007842145206176","5.540096129521882",,"1.801815060093206","2.5580083394652933","8.678378378378374","3.46281809189821","38.94642857142854","14.99626377732112"
WAA Solar Ltd,WAA,"Renewable Energy","210.67621232000002","28.06717118709606","25.912832127271727","1119.0592729083","13.251506024096381","13.646084337349395","2.4588528678304247","0.33834353930846783","12.378640776699037","4.203077710047318"
Aarvi Encon Ltd,AARVI,"Outsourced services","210.065856","8.3554717627903","0","84.9210014318","2.559931506849315","2.559931506849315","7.475935828876975","5.603292181069958","20.933234968646154","8.17974372476739"
Naman In-Store (India) Ltd,NAMAN,"Business Support Services","209.9052","97.17720857292207","27.62676424464192",,"0.9003775167785233","1.548238255033557","3.880841121495325","11.300312012480502","15.778723404255308","17.12194619111431"
IL&FS Transportation Networks Ltd,IL&FSTRANS,"Roads","209.876497226",,,,"0.07436384088627564","0.07539964416320091","-49.72732012513034","-0.015056159259221689",,
S A Tech Software India Ltd,SATECH,"IT Services & Consulting","209.69993286","110.36846615252784","74.63581833761783",,"1.691671964399237","1.691671964399237","2.8749999999999987","9.935483870967744","14.527559055118095","21.71567305098461"
Sera Investments & Finance India Ltd,SERA,,"209.3","28.131327740815735","0",,"1.450047573739296","1.450047573739296",,"-2.5076754385964914","83.3411105926271","21.331566743954948"
Alphalogic Industries Ltd,ALPHAIND,"Office Services & Supplies","208.8786","8.442579968536968","0","68.5494553824","1.8542319749216298","2.677115987460815","12.142857142857139","7.472544470224286","36.71874999999999","13.349038084020412"
Deep Polymers Ltd,DEEP,"Specialty Chemicals","208.81848","76.0071354244091","76.0071354244091",,"3.5643702157272097","5.830201809324983","3.8606271777003465","1.5297385853693282","10.927960927960912","8.344001807365007"
Housing Development and Infrastructure Ltd,HDIL,"Real Estate","208.56176",,,,"0.06784392120834783","0.5219890938831955",,"-0.0019122331081275665",,
Manaksia Aluminium Co Ltd,MANAKALUCO,"Metals - Aluminium","208.20167685","132.67853015946383","25.013481241814965","116.3846914979","0.5527629895588296","1.2094011803062192","1.305053314789058","7.267532467532466","1.7654827274622853","6.741707579930542"
Bal Pharma Ltd,BALPHARMA,"Pharmaceuticals","207.98553552","201.55934161131967","52.48339589950911",,"0.7207446808510638","1.1532210401891252","1.5854922279792805","13.701982775886249","2.9774872912128174","7.719475277497505"
Transwarranty Finance Ltd,TFL,"Diversified Financials","207.613109116","111.16883116883116","87.76334776334777","303.9374813715","1.6119138897080507","1.6119138897080507",,"0.7760660861799509","0.9016011192289728","0.7981410385936534"
Sharda Ispat Ltd,SHRDAIS,"Iron & Steel","207.590352","42.163312693498455","0",,"1.8619718309859155","2.946881287726358","14.312056737588664","6.270773442847366","55.80838323353298","26.300013032712123"
Dindigul Farm Product Ltd,DFPL,"Packaged Foods & Meats","207.5267336","183.75241779497094","142.35976789168274",,"0.8928696873902351","1.4035827186512115","3.40438871473354","126.75555555555609","20.00457247370826","20.081360946745548"
Winsome Textile Industries Ltd,WINSOMTX,"Textiles","207.119","103.98822075183595","41.852686686541105","131.4280788598","0.4698607435256871","1.245739444458186","1.5705437026841038","7.829706537713936","3.3191186922530362","8.170816126799236"
Dhoot Industrial Finance Ltd,DHOOTIN,"Trading Companies & Distributors","206.37747","14.93209485609739","0.053948818989983556",,"1.9669743293914048","1.9669743293914048","35.08365758754864","7.008807045636506","181.39164522846986","35.5008268367588"
Sir Shadi Lal Enterprises Ltd,SSLEL,"Sugar","206.03625","7.9051983127484595","2.4747367462749974",,"0.03956964775254741","0.25704753530233276","-1.1103448275862156","-1.655216877395322",,
Abans Enterprises Ltd,ABANSENT,"Commodities Trading","205.759196","83.59294992723548","13.36711044036005",,"1.2589664060110959","1.6930234590013542","2.729818780889613","10.357172023566473","3.5744549726523003","7.444681568010761"
Airo Lam Ltd,AIROLAM,"Building Products - Laminates","204.282234","79.08139353226059","21.637244180596777",,"0.7828492392807743","1.5734942788884694","3.222222222222226","4.624610591900312","7.997147514262448","10.371832028118654"
GSS Infotech Ltd,GSS,"Software Services","203.951480229","3.3250350530803785","0.3920222050533665",,"0.6215643671917436","0.6328625746876697","7.5639097744360875","-24.008037508372404","3.996571306118072","1.876410572062745"
Globus Power Generation Ltd,GLOBUSCON,"Power Generation","203.93281728","0","0",,"0.6666666666666666","0.6666666666666666",,"-163.55555555555557","157.2093023255819","70.41666666666667"
Surat Trade and Mercantile Ltd,SURATRAML,"Textiles","203.85515592000002","0.0917805425249847","0",,"114.28409090909093","114.28409090909093","270.39999999999975","1.0335163061026797","364.25702811244935","6.8073108101304"
CHL Ltd,CHLLTD,"Hotels, Resorts & Cruise Lines","203.75958393",,,,"0.2815595363540569","0.35089567966280294","1.6463367855772937","-1.962160784813352","3.427193452525952","12.62687181901093"
Innovassynth Investments Ltd,INOVSYNTH,"Specialty Chemicals","203.74126972","9.952869420571112","0",,"0.001941747572815534","0.001941747572815534",,"0",,
Likhami Consulting Ltd,LIKHAMI,"Outsourced services","203.72625","0","0",,"44.882352941176464","44.882352941176464",,"0.08536585365853659","88.23529411764707","0.602409638554217"
MITCON Consultancy & Engineering Services Ltd,MITCON,"Education Services","203.56716608800002","100.54061952074811","83.22618351841028",,"1.4029957203994292","1.5427960057061338","1.7494707127734646","3.9320832718145593","3.0446703987204335","7.947041097646982"
Ramdevbaba Solvent Ltd,RBS,"FMCG - Household Products","203.55322","207.42056856187293","88.37792642140467",,"0.5339436329973257","1.0166632380168692",,"0",,
Century Extrusions Ltd,CENTEXT,"Metals - Aluminium","203.04","65.80424366872006","5.886379192334019",,"0.9511625046131137","1.438676343953746","2.1634615384615414","9.82029515476035","8.642691415313255","12.715855572998446"
GIR Natureview Resorts Ltd,GIRRESORTS,"Hotels, Resorts & Cruise Lines","202.29302225","0","0",,"1.1235955056179776","1.1235955056179776",,"22.925925925925906","2.2598870056497256","0.18467220683287214"
Regency Ceramics Ltd,REGENCERAM,"Building Products - Ceramics","202.11948338399998",,,,"0.5682734160889892","0.5682734160889892",,"-0.1315108976727004",,
BDH Industries Ltd,BDH,"Pharmaceuticals","202.023657","13.980051480051479","0",,"2.2038486627527725","2.3669275929549904","74.66666666666669","2.2481995884773665","31.616000000000017","14.388181136923246"
Savera Industries Ltd,SAVERA,"Hotels, Resorts & Cruise Lines","201.82176","4.568657478305257","2.5778458397141395",,"2.542234332425068","2.561307901907357","39.14285714285715","4.84692233322591","60.21064950263318","14.353064431639604"
ANI Integrated Services Ltd,AISL,"Construction & Engineering","201.764378","46.281781686102086","0.6117377174536417",,"1.9031022596706242","1.9031022596706242","3.139931740614328","4.3118193282127715","10.690633869441783","8.74857360213007"
Organic Recycling Systems Ltd,ORGANICREC,"Construction & Engineering","201.605515875","40.522314860225585","38.26630701324178",,"2.5897300158814187","2.651667548967708","5.446666666666665","1.1664218258132215","14.507384557861277","6.0496112550907055"
HB Estate Developers Ltd,HBESD,"Real Estate","201.313151715","125.45187362233649","80.33798677443058",,"0.2187123429161645","0.34610087794801164","1.280245022970904","-2.338965263931158","1.337700396483369","6.766491299069205"
Somi Conveyor Beltings Ltd,SOMICONVEY,"Industrial Machinery","201.278982072","21.393384940182965","1.491907107670653",,"1.4294381429701921","2.1192297546821415","4.377777777777776","2.518627812615271","11.500380807311503","7.135095979717493"
Techknowgreen Solutions Ltd,TECHKGREEN,"Environmental & Facilities Services","201.2532198","0","0",,"5.255000000000001","7.870000000000001","43.64999999999999","2.75175644028103","281.5668202764977","29.177807486631007"
Pulz Electronics Ltd,PULZ,"Electronic Equipments","200.6336","0.7644529383659818","0.5733397037744864",,"1.2360000000000004","2.6870000000000007","183.83333333333337","3.366503153468815","74.10394265232972","34.3720785291368"
Golkunda Diamonds and Jewellery Ltd,GOLKUNDIA,"Apparel, Accessories & Luxury Goods","200.2521204","72.58930223949658","0.7958541550990185","110.3325548287","1.586830320119423","1.7478852214297562","5.282392026578076","5.491742901271236","15.618397529660344","13.75908618899274"
Quest Laboratories Ltd,QUESTLAB,"Pharmaceuticals","199.92384","27.296937416777627","14.181091877496671",,"0.8639833448993756","1.2512144344205416","20.013157894736842","14.876909254267737","31.90009484666455","32.60450160771704"
Cenlub Industries Ltd,CENLUB,"Industrial Machinery","199.89848013","10.332415837391489","0.21172983273343254",,"1.265768958185684","1.6612331679659817","30.756097560975622","6.632634457611671","57.833655705996165","20.098820529168005"
Lakshmi Automatic Loom Works Ltd,LXMIATO,"Industrial Machinery","199.8225","23.39640055376096","1.5689893862482687",,"1.2100456621004567","1.3211567732115679","4.873417721518989","5.903743315508018","20.751341681574264","11.719939117199397"
