Name,Ticker,"Sub-Sector","Market Cap","Domestic Institutional Holding","Mutual Fund Holding","Foreign Institutional Holding","Promoter Holding","MF Holding Change – 3M"," MF Holding Change – 6M","FII Holding Change – 3M","Promoter Holding Change – 6M ","DII Holding Change – 3M","DII Holding Change – 6M","FII Holding Change – 6M","Promoter Holding Change – 3M","Insurance Firms Holding","Retail Investor Holding"
Dhani Services Ltd,DHANI,"Investment Banking & Brokerage","2876.40032079","1.5160001118030444","0.10621942660884033","16.6040367596779","29.13155465972268","0.014322192164308786","0.03768092584029241","1.9718005734921125","-2.1203965231213466","0.014975629010968827","0.03833436268695234","2.32953519354497","-1.633592116650366","0","19.107899102359102"
Huhtamaki India Ltd,HUHTAMAKI,"Packaging","2875.12002738","1.0833157424172957","0.20498812967369187","1.394682238937366","67.73396057362619","0.01878791928183407","0.06463552694505942","0.18310044867230224","0","-0.234383563323471","-0.24535785855272185","0.5023454510579667","0","0","14.839074433660556"
Bajel Projects Ltd,BAJEL,"Electric Utilities","2858.34277772","7.8340842382178195","7.758123568492555","0.2874528680226952","62.72091998096202","-0.3006330549039502","-3.6968818908848364","-0.22336239413150671","-0.12968951304021914","-0.23811139955080662","-4.191809883665586","-10.169520872466313","-0.030575997413151867","0","20.13576267137687"
Summit Securities Ltd,SUMMITSEC,"Asset Management","2848.52635749","0.20830541358334018","0.0031646205331037195","0.5916831387458619","74.64712417172937","0","0","0.0035682243112388212","0","0","0","0.013548245006939741","0","0.19787592504380705","11.529097860248706"
MM Forgings Ltd,MMFL,"Iron & Steel","2846.441728","10.56536237407211","9.353944359756097","2.648980149787911","56.33572623939555",,,,,,,,,"0","13.726289103923648"
Dolat Algotech Ltd,DOLATALGO,"Investment Banking & Brokerage","2845.392","0","0","0.07776988636363637","74.49094261363636","0","0","0.059367045454545464","0","0","0","0.06776534090909091","0","0","15.690678977272727"
Nilkamal Ltd,NILKAMAL,"Plastic Products","2822.073315375","17.782687581357713","17.69490082945078","1.0818611461532146","64.54032410734779","-1.2117252274665304","-2.091763960857829","-0.05735624500545322","0","-1.4279151819145888","-2.3079539153058874","-0.07766111968316358","0","0","8.101028478759458"
Stanley Lifestyles Ltd,STANLEY,"Retail - Department Stores","2805.5324085099996","22.428777747186633","5.068166947874101","2.6225286808957473","56.80964253221597",,,,,,,,,"1.3654049999138858","12.646989360512864"
Ram Ratna Wires Ltd,RAMRAT,"Electrical Components & Equipments","2796.64","0","0","0.20519545454545457","73.04429999999999","0","0","0.17076136363636366","0","0","-0.00921590909090909","0.13718863636363637","0","0","14.114204545454545"
SML Isuzu Ltd,SMLISUZU,"Trucks & Buses","2796.50087304","0.06642644520187958","0","15.322811240684025","43.96394162764899","0","0","-0.4842434647724243","0","0.06564560797023365","0.06564560797023365","-0.10389281219289082","0","0","15.090494889109365"
