Name,Ticker,"Sub-Sector","Market Cap","1Y Historical Revenue Growth","5Y Historical Revenue Growth","1Y Historical EBITDA Growth","5Y Historical EBITDA Growth","1Y Historical EPS Growth","5Y Historical EPS Growth"
Chambal Breweries and Distilleries Ltd,CHMBBRW,"Alcoholic Beverages","4.822760152000001","0","-3.285883999939365","-567.5675675675676",,"-267.16216216216213",
Ontic Finserve Ltd,ONTIC,,"4.770159","-68.62745098039215","-30.11728812284207","-4028.571428571428",,"-30349.999999999996",
AVI Polymers Ltd,AVI,"Commodities Trading","4.7656655","-78.46534653465346","15.678857972406712","-83.33333333333317","24.57309396155192","-92.55370419760692","-10.501457409355886"
Atharv Enterprises Ltd,ATHARVENT,"Commodities Trading","4.76","365.69037656903765","58.86217192966123","40.90909090909143","14.142752785081548","72.72727272727376","80.19831273171476"
Heera Ispat Ltd,HEERAISP,"Iron & Steel","4.7591852",,,"-157.14285714285717",,"-157.14285714285714",
Sarthak Global Ltd,SARTHAKGL,"Investment Banking & Brokerage","4.749","36.13861386138615","-32.81861751815429","3.0612244897958867","5.576225116891487","-71.42857142857181","-19.72584382397571"
Retro Green Revolution Ltd,RGRL,"Agricultural & Farm Machinery","4.739958036","23.030303030303003","58.96195980481953","11.627906976744168","88.81750225898037","-14.358496683254709","66.57783262265737"
United Textiles Ltd,UNITEDTE,"Textiles","4.722","-19.409282700421947","14.546109366261906","22.92993630573248","28.077799211761057","-84.99999999999989",
Mahaveer Infoway Ltd,MINFY,"IT Services & Consulting","4.600015","35.71428571428572","21.873083396803118","-650.0000000000211",,"-25.000000000000483",
Crimson Metal Engineering Company Ltd,CRIMSON,"Iron & Steel","4.574337831","1.835985312117483","-3.7651089803995563","-5.651105651105727","1.412068136225697","-500.00000000000034",
Gangotri Textiles Ltd,GANGOTRI,"Apparel & Accessories","4.56604876",,,"0",,"92.30769230769232",
Ken Financial Services Ltd,KENFIN,"Diversified Financials","4.5541518","-92.65822784810128","-22.76234003980836","-87.87878787878789","-16.17826428344663","-87.09677419354841","-18.316664954179785"
Richa Industries Ltd,RICHAIND,"Construction & Engineering","4.54542","-17.98695246971107","-40.72317483906445","22.586872586872648",,"19.104304817499738",
Mahesh Developers Ltd,MAHESH,,"4.521528",,,"0","-28.70437366213301","-12.499999999999982","-43.64734416598171"
Maruti Securities Ltd,MARUTISE,"Investment Banking & Brokerage","4.50027",,,"64.0625",,"63.279046875000006",
S K S Textiles Ltd,SKSTEXTILE,"Textiles","4.49802306","-93.91151992991678","-61.233176831769256","88.06343906510851",,"82.93444328824141",
GSL Securities Ltd,GSLSEC,"Diversified Financials","4.48825","265.2173913043478","-30.57940805504944","609.0909090909089","-31.33990617641247","527.272727272727","-33.74021721154816"
Shiva Suitings Ltd,SHVSUIT,"Textiles","4.482191945","-20.867768595041312","-12.030348267884051","-50.000000000000306","-24.74419452655907","-50.000000000000426","-25.645122115897003"
Superior Finlease Ltd,SUPERIOR,,"4.47149","-44.64285714285715","36.675184063591026","-77.08333333333337","-3.2858839999393874","-82.35294117647062","-7.789208851827256"
Khyati Multimedia Entertainment Ltd,KHYATI,"Software Services","4.4604826","1820","149.14618792310347","160",,"157.60106666666664",
MFS Intercorp Ltd,MFSINTRCRP,"Iron & Steel","4.4286976",,,"-104.44444444444446",,"-105.88235294117648",
Purple Entertainment Ltd,PURPLE,"Movies & TV Serials","4.40944215","75.64102564102564","42.88891753904864","43.859649122807014","68.70677378571277","-25.000000000000014","31.95079107728942"
Garodia Chemicals Ltd,GARODCH,"Commodity Chemicals","4.4065224",,,"-116.66666666666669",,"-116.66666666666666",
Systematix Securities Ltd,SYTIXSE,"Diversified Financials","4.405","-17.500000000000004","-12.131203503623523","-100",,"-299.9999999999993",
Karnimata Cold Storage Ltd,KCSL,"Logistics","4.402744","2.3012552301255207","-1.2976094701679708","8.510638297872356","1.3256410481405245","29.787234042553237","40.85991758929177"
Integra Telecommunication and Software Ltd,INTELSOFT,"Technology Hardware","4.37184","-44.827586206896555","100","-56.25000000000001",,"-64.80000000000001",
Ashoka Refineries Ltd,ASHOKRE,"Oil & Gas - Refining & Marketing","4.3714415","-22.05128205128205","80.19831273171422","-83.33333333333333",,"-89.99999999999999",
Aarcon Facilities Ltd,RBGUPTA,"Real Estate","4.34484","70","16.861340501027968","139.99999999999991","26.759921953501518","956.2999287784814",
Shelter Infra Projects Ltd,SIPL,"Construction & Engineering","4.287763361","24.827586206896534","-29.68466653086668","-166.66666666666728",,"51.21951219512189",
High Street Filatex Ltd,HIGHSTREE,"Textiles","4.27667",,"-12.944943670387588","163.63636363636365",,"163.63636363636365",
Mideast Portfolio Management Ltd,MIDEASTP,"Investment Banking & Brokerage","4.26544","0",,"0",,"0",
Regency Trust Ltd,REGTRUS,"Investment Banking & Brokerage","4.22","-6.106870229007644","14.683961005326541","115.55555555555559",,"113.04347826086955",
GCM Commodity & Derivatives Ltd,GCMCOMM,"Investment Banking & Brokerage","4.218536","1366.6666666666665",,"-193.0555555555556",,"-193.05555555555557",
Fraser and Co Ltd,FRASER,,"4.1819545","-99.765625","-63.8657987781022","-200.00000000000028",,"-419.8906060606078",
Decorous Investment and Trading Co Ltd,DITCO,"Real Estate","4.13655","40.000000000000014","31.95079107728942","53.84615384615391","58.489319246111336","50.00000000000006","49.627786973884454"
