Name,Ticker,"Sub-Sector","Market Cap","Return on Equity","Return on Assets","Net Profit Margin","5Y Avg Return on Equity","5Y Avg Return on Assets","5Y Avg Net Profit Margin","5Y Avg EBITDA Margin","EBITDA Margin","5Y Avg Return on Investment","Return on Investment","5Y Avg Cash Flow Margin","Cash Flow Margin","ROCE"
Gillette India Ltd,GILLETTE,"FMCG - Personal Products","29346.57228237","38.45064484395102","20.12288265046336","15.48221632232492","34.3246240555007","20.15857166025328","14.263268517387747","22.944182292539992","24.575997111891628","34.184041744605686","36.752586180744466","16.21712964072272","18.509700987904274","51.88261703307187"
Suven Pharmaceuticals Ltd,SUVENPHAR,"Pharmaceuticals","29141.3233381","15.862710190022879","14.231311539509703","26.972135889190316","30.908870040535287","24.632000849550373","31.336743538544386","46.697191727127425","42.01264753965831","25.546220294947712","14.544801410427905","33.715317537732865","32.2009234141171","19.239564267717345"
Sundram Fasteners Ltd,SUNDRMFAST,"Auto Parts","28925.22077235","16.112672576211498","10.854516438450213","9.119530388237324","17.01080987557919","10.330138434491804","9.09451436164792","16.917601821717007","16.44724996372675","13.52887631514216","13.544217404173803","11.625012025341912","10.291462065179958","19.635695277371422"
Bayer Cropscience Ltd,BAYERCROP,"Fertilizers & Agro Chemicals","28913.719598659998","26.6295064281219","15.96644997143072","14.283785347787504","23.998801924852877","14.568144597705805","13.235828071501928","19.591299385369574","19.964507542147288","23.613971447838082","26.24201622648023","13.651541417031746","18.355773311214847","32.03653698703202"
Crompton Greaves Consumer Electricals Ltd,CROMPTON,"Home Electronics & Appliances","28889.504594205","13.41900690441948","7.496849472526298","5.960814070079406","25.07663069984768","12.880452302205565","9.339350877212375","13.7023043340327","10.583453022953313","19.083345166732897","12.562679083094565","11.77085142625937","11.428010081027614","16.231712385185272"
Emcure Pharmaceuticals Ltd,EMCURE,"Pharmaceuticals","28867.75365302","17.263718917907415","6.946663877849824","7.4186477326201326","18.537623694301626","6.747720248216636","7.463458711055901","19.3924888158516","19.01317004306622","13.587823793935081","13.475628305545072","13.070591622031738","16.33955003842007","21.435779571804538"
J B Chemicals and Pharmaceuticals Ltd,JBCHEPHARM,"Pharmaceuticals","28841.8855656","20.45380101375169","14.667179786612861","15.69325135952518","20.776632936289925","16.237063625279216","16.000028973297358","25.33040922487573","26.527708756336157","18.746585961927085","18.084326472744443","15.831587661716323","22.735236905252098","25.50744704377841"
Carborundum Universal Ltd,CARBORUNIV,"Industrial Machinery","28502.454321359997","14.846430663653852","11.584607772467082","9.563937213594038","14.639186647885168","11.569994523576","9.771425641359432","17.557803475896385","17.81844195160387","13.418644965702288","13.95381316356843","12.144319529511256","12.472473925394489","19.5852581810299"
Authum Investment & Infrastructure Ltd,AIIL,"Diversified Financials","28313.17817","62.272626860986286","46.27036354722572","160.5538860453091",,,,,"158.6387787678265",,"37.345610953985066","0","122.87112463372777","36.82902701454227"
Timken India Ltd,TIMKEN,"Industrial Machinery","28275.09820427","17.606702526018985","14.14615845255875","13.29148462364972","17.448387358429635","13.426371041935095","13.344079354281522","21.683490251848838","20.78357867478333","16.15912362460327","16.209167986964868","11.87120195897382","11.521501130389689","20.99944320712695"
