Name,Ticker,"Sub-Sector","Market Cap","Reserves & Surplus","Cash and Equivalent","Long Term Investments","Total Debt","Total Assets","Total Deposits – Banks","Total Current Assets","Total Cash Dividend Paid","Total Current Liabilities","Total Equity","Long Term Debt","Operating Cash Flow","Total Liabilities"
Bharat Forge Ltd,BHARATFORG,"Iron & Steel","73362.80074424","6382.67","2715.4","823.5","7947.53","19183.940000000002",,"10015.5","380.07","9280.109999999999","7165.31","2238.2400000000007","1664.4","12018.630000000003"
Yes Bank Ltd,YESBANK,"Private Banks","73100.93642632","-1208","19318.449999999997","89996.95",,"406361.55","266229.53","19318.449999999997","0","266229.53","42155.19","80507.61","9644.55","364206.36"
Alkem Laboratories Ltd,ALKEM,"Pharmaceuticals","72818.67195","10288.15","1728.34","334.8","1418.4099999999999","15574.900000000001",,"10411.58","540.49","3994.5499999999997","10714.4","229.26","1948.07","4860.500000000002"
Indian Railway Catering and Tourism Corporation Ltd,IRCTC,"Online Services","72444","3069.79","2277.65","0","60.349999999999994","6091.18",,"5144.17","360","2631.6800000000003","3229.79","41.8","882.17","2861.3900000000003"
Berger Paints India Ltd,BERGEPAINT,"Paints","72302.67095898","5149.18","536.56","169.16","753.2900000000001","8367.8",,"4318.03","310.86","2362.5099999999998","5389.17","448.27000000000004","1591.05","2978.6299999999997"
Kalyan Jewellers India Ltd,KALYANKJIL,"Precious Metals, Jewellery & Watches","71918.13983485999","1557.34","975.1","4.4","4486.36","12817.740000000002",,"9949.02","51.49","7582.8","4187.76","1001.6099999999997","1321.8","8629.980000000001"
SRF Ltd,SRF,"Diversified Chemicals","70796.623078875","10672.02","813.12","121.12","5030.54","20454.38",,"5649.29","213.71","5480.77","11479.02","2333.93","2093.86","8975.36"
PI Industries Ltd,PIIND,"Diversified Chemicals","70615.27707745999","6515.9","3949.9","90.3","190.60000000000002","10743.8",,"6678.5","174.4","1710.6000000000001","8731","105.5","2035.9","2012.8000000000002"
Linde India Ltd,LINDEINDIA,"Commodity Chemicals","70500.20294295","2685.9","979.83","50.16","20.69","4805.23",,"1927.1","102.06","1031.4","3468.4300000000003","19.130000000000003","436.96","1336.7999999999997"
JSW Infrastructure Ltd,JSWINFRA,"Ports","69931.298274875","4831.2300000000005","4310.0599999999995","24.65","4758.4800000000005","13693.59",,"5388.179999999999","0","727.67","8231.02","4633.670000000001","1803.21","5462.570000000001"
General Insurance Corporation of India,GICRE,"Insurance","69307.572","52835.28","24855.18","135762.54","0","184452.24000000002",,"47531.59","1263.17","98760.5","55256.549999999996","0","11144.45","129195.69000000003"
Ashok Leyland Ltd,ASHOKLEY,"Trucks & Buses","69285.00157722","6163.59","8103.24","1305.42","40802.18","67595.11",,"29126.54","763.39","26679.93","11814.59","26846.920000000002","-6257.98","55780.520000000004"
Bharti Hexacom Ltd,BHARTIHEXA,"Telecom Services","69050","4284.7","311.9","0","8104.599999999999","18517.399999999998",,"2397.2","75","7551.199999999999","4638.7","5623","3546.1","13878.699999999999"
Supreme Industries Ltd,SUPREMEIND,"Plastic Products","68058.4564086","5035.93","1187.29","638.14","55.06","6555.709999999999",,"3287.43","355.67","1272.76","5108.83","42.13","1412.9","1446.8799999999992"
Indian Bank,INDIANB,"Public Banks","68028.415860405","52611.22","42176.91","215241.82",,"796825.39","687953.07","42176.91","1071.08","687953.07","60277.51","23142.88","-8617.26","736547.8800000001"
Oberoi Realty Ltd,OBEROIRLTY,"Real Estate","65753.82853908","10648.449999999999","1249.77","335.4","2495.22","19632.979999999996",,"12745.919999999998","290.88","3273.31","13844.41","2192.04","2809.85","5788.569999999996"
Fertilisers And Chemicals Travancore Ltd,FACT,"Fertilizers & Agro Chemicals","65535.449526719996","728.67","2679.32","130.37","1810.23","5867.72",,"4500.51","64.61","4288.14","1375.74","31.630000000000003","278.48","4491.9800000000005"
Patanjali Foods Ltd,PATANJALI,"Packaged Foods & Meats","65490.298830495","5463.38","1846.0300000000002","28.68","1048.73","13262.080000000002",,"7769.530000000001","432.62","3026.11","10205.310000000001","1.0200000000000102","1746.25","3056.7700000000004"
Voltas Ltd,VOLTAS,"Home Electronics & Appliances","62517.3627756","5782.65","1353.78","3006.79","743.63","11994.43",,"7724.64","143.24","5756.38","5854.21","248.98999999999998","761.51","6140.22"
NMDC Ltd,NMDC,"Mining - Iron Ore","62164.0112902","25362.83","12368.539999999999","951.17","3358.78","35661.03",,"21548.53","2520.9","8404.82","25672.91","1.7600000000002183","7394.8","9988.119999999999"
Jindal Stainless Ltd,JSL,"Iron & Steel","61749.35975411999","10090.949999999999","2332.3599999999997","902.21","6052.260000000001","30764.85",,"14782.609999999999","285.73","10043.920000000002","14374.529999999997","4652.24","4818.13","16390.32"
Phoenix Mills Ltd,PHOENIXLTD,"Real Estate","61590.137428969996","6957.23","2033.6","401.38","4639.240000000001","19147.82",,"3387.4500000000003","89.6","2245.17","12387.439999999999","3834.1300000000006","2161.73","6760.38"
Indian Renewable Energy Development Agency Ltd,IREDA,"Specialized Finance","61117.081649734","5008.03","735.89","99.34","49686.86","62600.42",,"3075.4700000000003","0","4436.759999999999","8559.42","49604.24","-11099.64","54041"
Schaeffler India Ltd,SCHAEFFLER,"Auto Parts","60228.4931611","4714.09","1585.66","0","51.10000000000001","6266.51",,"4106.16","375.13","1405.15","4805.35","40.650000000000006","884.46","1461.16"
Aditya Birla Capital Ltd,ABCAPITAL,"Diversified Financials","59173.86984586","15207.32","3579.01","99538.91","110139.34","231623.28999999998",,"7180.6900000000005","0","112988.49","28637.780000000002","89997.02","-24100.5","202985.50999999998"
UNO Minda Ltd,UNOMINDA,"Auto Parts","59170.455046475","3327.3099999999995","269.05","936.77","1706.33","9883.61",,"4504.51","105.25","3673.1200000000003","5264.98","801.8399999999999","979.34","4618.63"
Abbott India Ltd,ABBOTINDIA,"Pharmaceuticals","59037.04199311","3677.64","2134.49","0","83.23","5193.49",,"3245.8399999999997","690.6","1342.72","3698.89","36.760000000000005","1212.81","1494.6"
Thermax Limited,THERMAX,"Industrial Machinery","58794.70018924499","4358.57","2338.78","401.63","1277.4299999999998","10140.73",,"6448.08","112.75","4725.35","4439.799999999999","805.8899999999999","247.3","5700.93"
Balkrishna Industries Ltd,BALKRISIND,"Tires & Rubber","58682.39961045","8815.16","1428.99","1336.66","3099.44","13684.539999999999",,"4644.0599999999995","309.45","3660.4399999999996","8853.82","695.4500000000003","2082.64","4830.719999999999"
UCO Bank,UCOBANK,"Public Banks","58153.780568064","11632.119999999999","29025.36","92761.4",,"323548.45999999996","263129.77","29025.36","0","263129.77","27213.789999999997","25331.44","1001.75","296334.67"
L&T Technology Services Ltd,LTTS,"Software Services","57978.329765065006","4118.7","2684.1","199.1","658.8","8483.099999999999",,"6230.299999999999","496.7","2537.1","5347.8","519.5","1492.8","3135.2999999999984"
Fsn E-Commerce Ventures Ltd,NYKAA,"Wellness Services","57064.444711511","-259.2900000000001","239.86","34.31","969.49","3400.64",,"2292.95","0","1878.8799999999999","1281.04","159.3","0.25","2119.6"
MRF Ltd,MRF,"Tires & Rubber","56934.24874061","16689.33","2607.36","1120.99","2821.5","26849.43",,"10549.55","74.22","7710.030000000001","16703.16","1379.3000000000002","3300.5","10146.27"
Tata Communications Ltd,TATACOMM,"Telecom Services","56860.35","776.4000000000001","991.73","1458.94","11263.17","24365.44",,"5998.93","601.41","13670.65","1790.3000000000002","5568.110000000001","3182","22575.14"
Mphasis Ltd,MPHASIS,"IT Services & Consulting","56848.35037251999","8362.300000000001","3407.14","497.14","1543.57","14000.32",,"6632.41","942.71","4204.63","8794.61","0","2179.7","5205.71"
Container Corporation of India Ltd,CONCOR,"Logistics","56515.09724874","11518.56","3296.09","1107.06","914.48","14038.16",,"4286.09","670.22","1245.8200000000002","11950.74","746.11","1388.5","2087.42"
Hitachi Energy India Ltd,POWERINDIA,"Heavy Electrical Equipments","54787.638906","1341.5900000000001","128.2","0","213.68","4707.370000000001",,"3828.7500000000005","14.35","3291.15","1359.8700000000001","52.06999999999999","252.31","3347.500000000001"
Sundaram Finance Ltd,SUNDARMFIN,"Consumer Finance","54481.730845625","10968.02","1502.68","5731.83","52334.2","64276.04",,"2231.46","318.97","5507.68","11078.220000000001","47690.14","-8485.88","53197.82"
IDFC First Bank Ltd,IDFCFIRSTB,"Private Banks","54466.806162489","5020.300000000003","12481.16","74500.12",,"296390.45999999996","200570.2","12481.16","0","200570.2","32273.57","50935.74","11542.89","264116.88999999996"
United Breweries Ltd,UBL,"Alcoholic Beverages","54181.90313308","3522.5199999999995","214.2","7.97","102.03","7053.369999999999",,"4415.469999999999","198.52","2829.1299999999997","4183.5599999999995","16.900000000000002","69.5","2869.8099999999995"
AU Small Finance Bank Ltd,AUBANK,"Consumer Finance","53842.43670315","7928.859999999999","6376.33","27133.37",,"109425.65999999999","87182.12","6376.33","66.7","87182.12","12559.529999999999","5479.37","2608.07","96866.12999999999"
Procter & Gamble Hygiene and Health Care Ltd,PGHH,"FMCG - Personal Products","53718.13588064","838.3800000000001","977.99","0","4.03","2137.3199999999997",,"1495.6999999999998","470.68","1085.03","946.0300000000001","0.8400000000000003","825.77","1191.2899999999995"
Steel Authority of India Ltd,SAIL,"Iron & Steel","53552.260371885","52735.590000000004","672.95","4589.02","36322.649999999994","141022.21",,"48436.21","619.58","53778.05","57101.23","14803.46","2910.88","83920.97999999998"
BSE Ltd,BSE,"Stock Exchanges & Ratings","52744.660111785","3275.22","5700.5","1152.22","0.02","9450.23",,"5969.91","164.9","5026.9800000000005","3454.66","0.02","2842.03","5995.570000000001"
Ola Electric Mobility Ltd,OLAELEC,"Two Wheelers","51584.655505075","-3801.54","1688.9499999999998","37.86","2710.4","7735.42",,"4046.62","0","4007.9000000000005","2019.3400000000001","1533.5900000000001","-633.09","5716.08"
Central Bank of India Ltd,CENTRALBK,"Public Banks","51460.608952896","16226.84","37607.81","144010.02",,"448610.69999999995","385540.78","37607.81","0","385540.78","32450.57","20012.88","-5909.91","416160.12999999995"
Premier Energies Ltd,PREMIERENE,"Renewable Energy","51156.129152479996","409.06","402.69","9.08","1401.5","3536.9299999999994",,"2181.85","0","1885.9099999999999","659.88","885.7","90.15","2877.0499999999993"
Coromandel International Ltd,COROMANDEL,"Fertilizers & Agro Chemicals","50953.952787","9164.419999999998","3481.54","230.79","492.12","15845.380000000001",,"12123.03","185.57","5863.55","9446.829999999998","410.26","1427.69","6398.550000000004"
Astral Ltd,ASTRAL,"Building Products - Pipes","50942.42598676","2761.1","609.6","0","119.4","4495.799999999999",,"1985.6000000000001","100.7","1121.1999999999998","3268.5","56.900000000000006","823.4","1227.2999999999997"
SJVN Ltd,SJVN,"Renewable Energy","50717.93652855","10141.05","3749.81","36.88","20323.199999999997","39191.25",,"4896.08","695.67","4102.95","14070.849999999999","19744.83","1309.53","25120.4"
Bank of India Ltd,BANKINDIA,"Public Banks","50425.349283815995","44109.76000000001","83122.97","234591.98",,"925922.26","740611.44","83122.97","820.71","740611.44","70742.07","80960.27","-4436.94","855180.19"
Petronet LNG Ltd,PETRONET,"Oil & Gas - Storage & Transportation","49875.002926","15910.11","7414.2","616.68","3008.1","25548.76",,"12919.829999999998","1500","4183.929999999999","17410.11","2596.42","4871.12","8138.649999999996"
Housing and Urban Development Corporation Ltd,HUDCO,"Specialized Finance","48205.752","14609.4","387.36","297.07","73995.90000000001","93422.34000000001",,"1656.9699999999998","920.87","8239.98","16612.56","67341.35","-10286.74","76809.78000000001"
Page Industries Ltd,PAGEIND,"Apparel & Accessories","48019.6583448","1544.57","321.05","0","184.85000000000002","2682.58",,"1875.52","345.76","938.1899999999999","1596.9199999999998","142.05","1080.47","1085.66"
Tata Elxsi Ltd,TATAELXSI,"Software Services","47578.51187925","2443.38","1357.1","0","224.78","3186.98",,"2536.7200000000003","377.4","445.93000000000006","2505.6600000000003","181.19","701.23","681.3199999999996"
Gujarat Fluorochemicals Ltd,FLUOROCHEM,"Specialty Chemicals","47561.7545","5925.35","198.45","0.86","2095.95","9233.07",,"3403.5600000000004","21.97","2502.81","5936.34","462.8700000000001","626.36","3296.7300000000005"
GlaxoSmithKline Pharmaceuticals Ltd,GLAXO,"Pharmaceuticals","47286.30627042","1608.23","1876.44","0","18.67","3556.61",,"2798.42","541.57","1524.95","1777.64","6.470000000000002","582.02","1778.9700000000003"
KPIT Technologies Ltd,KPITTECH,"IT Services & Consulting","46869.593568525","1874.64","856.8199999999999","8.18","328.76","4098.32",,"2016.45","128.71","1512.59","2162.9700000000003","216.81","1001.77","1935.3499999999997"
ACC Ltd,ACC,"Cement","46522.41653562","15296.65","2621.56","51.86","354.85","23385.64",,"9726.11","175.34","6096.84","16333.31","223.76000000000002","2995.11","7052.33"
Glenmark Pharmaceuticals Ltd,GLENMARK,"Pharmaceuticals","46449.581418379996","6133.15","1659.46","789.66","1230.93","14358.34",,"7428.09","117.75","5818.59","7847.549999999999","151.69000000000005","-265.44","6510.790000000002"
Motilal Oswal Financial Services Ltd,MOTILALOFS,"Diversified Financials","46372.94026937","8244.210000000001","12071.31","6500.65","13787.48","31770.949999999997",,"14620.69","252.41","17500.64","8768.74","5205.8099999999995","-349.64","23002.21"
Adani Wilmar Ltd,AWL,"FMCG - Foods","45950.137079775","4234.380000000001","2809.58","311.59","2627.5","19776.510000000002",,"12717.800000000001","0","10410.75","8315.990000000002","148.54000000000002","288.92","11460.52"
Coforge Ltd,COFORGE,"IT Services & Consulting","45756.93374135","3373.9","335.2","0","726","6061.099999999999",,"2602.5","478.1","1531.5000000000002","3726.9","571.5999999999999","903.4","2334.1999999999994"
Federal Bank Ltd,FEDERALBNK,"Private Banks","45564.397048697996","18951.42","19193.82","61043.12",,"318376.08","252455.01","19193.82","234.91","252455.01","30925.829999999998","25159.62","6431.17","287450.25"
UPL Ltd,UPL,"Fertilizers & Agro Chemicals","45419.26835691","21415","6297","1893","29754","85140",,"39299","749","26861","32706","24968","1822","52434"
Cochin Shipyard Ltd,COCHINSHIP,"Shipbuilding","45399.8502046","3940.28","3864.01","0.13","502.2","12037.039999999999",,"8638.56","236.77","6516.219999999999","5003.34","472.28","-171.59","7033.699999999998"
Fortis Healthcare Ltd,FORTIS,"Hospitals & Diagnostic Centres","44765.24338566","-307.25","598.4","229.77","1155.01","12971.37",,"1420.6000000000001","86.03","3170.17","8556.14","985.8100000000001","1100.1","4415.230000000001"
Sona BLW Precision Forgings Ltd,SONACOMS,"Auto Parts","44578.15898295","1495.8000000000002","305.8","10.04","412.13","3864.8999999999996",,"1407.1599999999999","179.29","664.19","2800.1100000000006","198.36999999999998","692.75","1064.7899999999988"
Jubilant Foodworks Ltd,JUBLFOOD,"Restaurants & Cafes","44424.02830926","1990.94","254.79","210.19","4206.860000000001","8037.529999999999",,"1156.44","79.01","1916.9699999999998","2243.23","3598.09","1009.64","5794.299999999999"
L&T Finance Ltd,LTF,"Consumer Finance","44123.157943352","13056.51","4676.02","12384.89","76603.45","102693.84",,"6561.31","496.61","22859.7","23527.99","56306.15","673.47","79165.84999999999"
Honeywell Automation India Ltd,HONAUT,"Electronic Equipments","43891.840006055","3581.6","2823","0","59.6","4895.1",,"4539.3","84","1219.6","3606.2","48.5","438.7","1288.9000000000008"
Biocon Ltd,BIOCON,"Biotechnology","43538.12825495","18954.9","2574.2999999999997","684.1","16276.7","55753.399999999994",,"15179.199999999999","203","15358.8","25274.800000000003","13424.8","2953.9","30478.59999999999"
Ge T&D India Ltd,GET&D,"Heavy Electrical Equipments","43307.7109299","919.97","134.1","0","41.82","3584.3900000000003",,"2634.25","0","2250.96","1242.94","29.86","518.36","2341.4500000000007"
Tata Technologies Ltd,TATATECH,"IT Services & Consulting","43236.1519274","2772.7999999999997","1063.74","0","257.39","5578.32",,"3973","498.97","2122.84","3220.8199999999997","205.01","294.33","2357.5"
