Name,Ticker,"Sub-Sector","Market Cap","Reserves & Surplus","Cash and Equivalent","Long Term Investments","Total Debt","Total Assets","Total Deposits – Banks","Total Current Assets","Total Cash Dividend Paid","Total Current Liabilities","Total Equity","Long Term Debt","Operating Cash Flow","Total Liabilities"
Tarapur Transformers Ltd,TARAPUR,"Heavy Electrical Equipments","45.82502585","-94.38","0.82","0","35.24","22.520000000000003",,"16.25","0","36.980000000000004","-14.459999999999994","0","-13.36","36.98"
Centenial Surgical Suture Ltd,CSURGSU,"Health Care Equipment & Supplies","45.822648","26.79","0.68","0","23.240000000000002","79.14",,"65.31","0","32.85","32.21","8.8","6.21","46.93"
Sudal Industries Ltd,SUDAI,"Aluminum","45.77196446","-113.55","2.12","0","0","61.49",,"23.53","0","162.41","-102.92999999999999","0","4.23","164.42000000000002"
Rishi Techtex Ltd,RISHITECH,"Textiles","45.735508","18.58","1.4","0.17","25.14","72.25",,"47.92","0","34.39999999999999","31.839999999999996","2.5800000000000005","5.68","40.41000000000001"
Ashirwad Capital Ltd,ASHCAP,"Diversified Financials","45.72","12.92","0.02","16.27","0","19.189999999999998",,"2.74","0","0.21000000000000002","18.92","0","-1.28","0.26999999999999647"
Future Lifestyle Fashions Ltd,FLFL,"Retail - Apparel","45.518888260000004","-2743.8599999999997","93.43","0.03","2169.18","4463.26",,"3504.02","0","4853.36","-1881.1899999999996","1454.8899999999999","683.38","6344.45"
Add-Shop E-Retail Ltd,ASRL,"FMCG - Personal Products","45.498920292","42.449999999999996","1.15","0","12.780000000000001","125.96000000000002",,"113.73000000000002","0","15.059999999999999","110.03","0.580000000000001","-28.66","15.930000000000014"
Tirupati Tyres Ltd,TTIL,"Tires & Rubber","45.46491","29.56","0.04","0","0","54.06",,"54.06","0","0.06","54","0","0.02","0.06"
Sonu Infratech Ltd,SONUINFRA,"Construction & Engineering","45.41225","10.32","0.51","1.08","32.15","95.99",,"78.5","0","58.190000000000005","25.31","12.489999999999998","3.33","70.67999999999999"
Aditya Spinners Ltd,ADITYASP,,"45.317583816","32.22","0.14","0","15.86","70.14",,"9.36","0","10.85","48.959999999999994","8.309999999999999","8.83","21.180000000000003"
New Light Apparels Ltd,NEWLIGHT,,"45.312932894999996","-0.11","1.31","0","4.01","11.34",,"11.2","0","7.890000000000001","3.3000000000000003","0.15000000000000005","0.17","8.04"
Modern Steel Ltd,MDRNSTL,"Iron & Steel","45.291923469","-14.43","0.98","0.03","0.2","13.92",,"13.83","0","0.51","13.399999999999999","0","0.47","0.5200000000000016"
Hind Aluminium Industries Ltd,HINDALUMI,"Metals - Aluminium","45.266937","70.57","2.54","56.71","0","77.44",,"8.71","0","0.53","76.86999999999999","0","-18.75","0.5700000000000143"
Inspire Films Ltd,INSPIRE,"Movies & TV Serials","45.18287268","12.1","0.38","0","9.06","41.599999999999994",,"34.209999999999994","0","21.2","13.11","7.279999999999999","-3.28","28.489999999999995"
Gajanan Securities Services Ltd,GAJANANSEC,"Investment Banking & Brokerage","45.14961","111.68","6.03","97.99","0","115.74",,"6.0600000000000005","0","0.72","114.79","0","0.8","0.9499999999999857"
