Name,Ticker,"Sub-Sector","Market Cap","PE Ratio","PB Ratio","PS Ratio","Dividend Yield","EV/EBITDA Ratio","EV / Revenue Ratio","EV / Free Cash Flow","Price / Free Cash Flow","Price / CFO","EV / Invested Capital","Price / Sales","EV / EBIT Ratio","Sector PB","Sector PE","Sector Dividend Yield"
Tyche Industries Ltd,TYCHE,"Pharmaceuticals","189.01","15.44199346405228","1.6187906817403221","2.505766936232268","1.3557483731019524","6.15347334410339","1.5149144902558662","22.538461538461537","37.280078895463504","27.714076246334308","0.9786742034943473","2.505766936232268","6.87131689717378","6.5551937051261975","51.23023092207714","0.48108310721408415"
Mitsu Chem Plast Ltd,MITSU,"Commodity Chemicals","188.706848604","21.29874137742679","2.377259367649282","0.6042873338158063","0.12795084109887572","10.05379440673907","0.859923301537082",,,"20.182550652834223","1.685624559688657","0.6042873338158063","12.979064698115067","3.6662453399453305","32.198868092644055","1.1571707320772924"
Forcas Studio Ltd,FORCAS,"Apparel & Accessories","188.5455","161.1500000000003","9.913012618296529","7.775072164948454",,"100.44699074074084","8.947030927835053","158.36897810218977","137.62445255474452","137.62445255474452","4.555227797606551","7.775072164948454","102.34221698113218","7.273486839446574","43.2017612050237","0.4559918237589867"
Cambridge Technology Enterprises Ltd,CTE,"IT Services & Consulting","188.388045006","33.761298388172","1.8986902338842977","0.889798058785188",,"8.18041444675422","1.0296998158227848",,,,"1.3961450208517452","0.889798058785188","12.930489027639378","9.395760006110493","35.622550600186656","1.6214024416130537"
Odyssey Technologies Ltd,ODYSSEY,"Software Services","187.70749725","42.276463344594625","3.618806578947368","6.604767672413793",,"19.04548159638555","5.562192021463758","42.04188756648936","49.922206715425524","45.121994531249996","3.0475707971852706","6.604767672413793","26.478642755443897","9.395760006110493","35.622550600186656","1.6214024416130537"
AAA Technologies Ltd,AAATECH,"IT Services & Consulting","187.5662964","58.43186803738321","6.708379699570815","7.599930972447326","0.3419271011420365","32.312629864603494","6.768893695299838","22.393605415549597","25.142935174262735","24.296152383419688","5.974831773962804","7.599930972447326","38.76016157772624","9.395760006110493","35.622550600186656","1.6214024416130537"
Standard Industries Ltd,SIL,"Textiles","187.004231487","-1438.49408836152","1.3709987645674488","4.852211507187338","3.611971104231167","994.3389467937602","4.128028839828749",,,,"1.004192586549265","4.852211507187338",,"7.273486839446574","43.2017612050237","0.4559918237589867"
Fonebox Retail Ltd,FONEBOX,"Retail - Speciality","186.8346","54.47072886297292","6.2382170283806335","0.6276568011556422",,"17.9074999999999","0.582338159707058",,,,"5.7513138686131375","0.6276568011556422","19.586960451977284","7.273486839446574","43.2017612050237","0.4559918237589867"
VJTF Eduservices Ltd,VJTFEDU,"Education Services","186.4896","2.7328487690504106","4.866638830897704","2.3276285571642537",,"3.617535387177352","3.2536145781328005","7.925801155366372","5.67010033444816","5.232592592592592","2.428993663809169","2.3276285571642537","3.6276036738101864","7.273486839446574","43.2017612050237","0.4559918237589867"
IBL Finance Ltd,IBLFL,"Financial Technology","186.34544775","81.37355796943228","3.309865857015986","13.104461867088608",,"56.724221874999984","13.084068055555555",,,,"3.0396250245058","13.104461867088608","61.20244991776315",,,
Baroda Extrusion Ltd,BAROEXT,"Industrial Machinery","186.31125","-169.3738636363607","-4.725114126299773","1.4578345070422536",,,"1.9109643974960877",,,,,"1.4578345070422536",,"7.221409012046209","51.941616477186834","0.4516689203640393"
Bafna Pharmaceuticals Ltd,BAFNAPH,"Pharmaceuticals","186.26998179","25.342854665306053","2.3041808732063336","1.1941148906340149",,"14.293714603142059","1.3414961330213475",,,"19.64873225632911","1.988596234818968","1.1941148906340149","21.707466990663857","6.5551937051261975","51.23023092207714","0.48108310721408415"
Galaxy Cloud Kitchens Ltd,GCKL,"Hotels, Resorts & Cruise Lines","186.04197036","-13.064745109550563","-8.685432789915959","41.90134467567568",,,"45.75044377477478",,,,,"41.90134467567568",,"7.273486839446574","43.2017612050237","0.4559918237589867"
ATV Projects India Ltd,ATVPR,"Industrial Machinery","185.4860481","28.757526837209305","0.9341561648871879","3.009671395424306",,"30.839211668874178","3.7779660571150413","37.85952001626016","30.160333024390248","25.09960055480379","0.9344840588376947","3.009671395424306","36.32387645865835","7.221409012046209","51.941616477186834","0.4516689203640393"
Urban Enviro Waste Management Ltd,URBAN,"Environmental Services","185.324","26.287092198581554","8.567914932963474","1.8057488063918934","0.11682242990654204","11.513685344827584","2.082178700185131",,,"41.45950782997763","4.142962388522683","1.8057488063918934","17.02741035856573","7.221409012046209","51.941616477186834","0.4516689203640393"
Mukta Arts Ltd,MUKTAARTS,"Movies & TV Serials","185.2212252","-27.81099477477474","-14.618881231254946","0.8879253365292425",,"10.730360712504455","1.4439176663470756","80.9680712903226","49.790651935483886","10.464476",,"0.8879253365292425","36.333079034981935","15.07506118075096","-166.21401613556694","0.3400219150141426"
Thakkers Developers Ltd,THAKDEV,"Real Estate","185.04","-194.77894736841955","1.28064225897986","5.760896637608966",,"96.34715025906772","5.789227895392279","15.241803278688524","15.167213114754098","13.030985915492957","1.0574954504094631","5.760896637608966",,"4.4276461090211905","66.33620167677743","0.6661621290539578"
Confidence Futuristic Energetech Ltd,CFEL,"Oil & Gas - Storage & Transportation","184.82274","21.49101627906974","1.1408106906981053","1.0303419556249305",,"9.018325232308788","1.4066938343182072","9.159083121597096","6.708629401088929","6.708629401088929","1.106285852075935","1.0303419556249305","14.619509849362679","1.7847787623946858","13.697295110650469","1.876426309718709"
Panache Digilife Ltd,PANACHE,"Technology Hardware","184.8","335.9999999999931","5.798556636335111","1.8349717009234434",,"35.84462809917349","2.153311488432132","52.12980769230769","44.42307692307693","38.26086956521739","3.3611283323000625","1.8349717009234434","41.94584139264981","9.395760006110493","35.622550600186656","1.6214024416130537"
Hilton Metal Forging Ltd,HILTON,"Industrial Machinery","183.75","27.46636771300458","1.8463625401929258","1.313532060904997",,"14.299697885196395","1.6917578097076276","72.15243902439026","56.02134146341464","18.17507418397626","1.5407552083333333","1.313532060904997","16.491986062717796","7.221409012046209","51.941616477186834","0.4516689203640393"
NipponINETFNifty SDL Apr 2026 Top 20 Equal Weight,SDL26BEES,"Debt","183.7082079",,,,,,,,,,,,,,,"0"
Xelpmoc Design and Tech Ltd,XELPMOC,"IT Services & Consulting","183.629292605","-13.82750697326807","2.709995463474026","23.011189549498745",,,"20.571339925438593",,,,"2.2901687026367186","23.011189549498745",,"9.395760006110493","35.622550600186656","1.6214024416130537"
7Seas Entertainment Ltd,7SEASL,"Interactive Home Entertainment","183.57814288","191.22723216666694","18.050948169124876","15.570665214588635",,"111.44398956097571","15.501962924512302",,,,"17.356898659069326","15.570665214588635","146.21451430400018","15.07506118075096","-166.21401613556694","0.3400219150141426"
Upsurge Seeds Of Agriculture Ltd,USASEEDS,"Seeds","183.5548","25.31790344827582","4.735675954592365","1.3779355904211394",,"16.527012417823215","1.6984820959387432",,,,"2.583702181112253","1.3779355904211394","19.077133220910603","11.450151516106503","57.65372818552274","1.2462104573186603"
Keynote Financial Services Ltd,KEYFINSERV,"Investment Banking & Brokerage","183.45938146","6.850611705003736","1.8697450209947006","3.6972870104796454",,"4.763148096498485","3.4816481551793634","8.88679945781893","9.437210980452674","8.858492586190247","1.7171193863433063","3.6972870104796454","4.8678326700479015","2.5848589347625337","18.559317201667593","0.7618004589993831"
DHP India Ltd,DHPIND,"Industrial Machinery","183.21","6.934519303557912","0.8448307663930645","2.286409584425309","0.6549860815457671","0.476148923792903","0.20429302383626613",,,"100.11475409836066","0.07374206045317358","2.286409584425309","0.5332247557003259","7.221409012046209","51.941616477186834","0.4516689203640393"
Ludlow Jute & Specialities Ltd,LUDLOWJUT,"Textiles","183.1969056","-14.632340702875382","1.1092758437783834","0.3847219656432442",,"328.8118539130479","0.6352784778865135","28.592335122873344","17.315397504725897","9.677596703645008","1.0602744579580108","0.3847219656432442",,"7.273486839446574","43.2017612050237","0.4559918237589867"
