Name,Ticker,"Sub-Sector","Market Cap","Alpha","Beta","Sharpe Ratio","Volatility vs Nifty","100D SMA","200D SMA","Volatility"
Basilic Fly Studio Ltd,BASILIC,"Animation","1098.09",,,,"4.822635206187437","479.75799999999987","430.4624999999999","67.60035576732831"
Capital India Finance Ltd,CIFL,"Diversified Financials","1097.9964225","9.70063153317973","0.773001653771962","0.003396768001286","3.5807042041374597","116.40000000000002","124.608","50.19182827403194"
Bhageria Industries Ltd,BHAGERIA,"Specialty Chemicals","1096.90917594","-3.18158148961278","1.27626134135423","-0.010119897719746","3.503570467153758","181.5501000000001","174.52155","49.11062104212855"
Asian Granito India Ltd,ASIANTILES,"Building Products - Granite","1096.220238084","-6.01236399469503","1.19913157283427","-0.023056901199349","3.5500180295806714","74.73940000000002","71.09794999999995","49.761690760310024"
Jay Bharat Maruti Ltd,JAYBARMARU,"Auto Parts","1092.459","3.76961522781941","1.58286669970218","0.022293204508765","3.0251446818420313","108.62199999999997","114.63875","42.40438017741589"
NINtec Systems Ltd,NINSYS,"IT Services & Consulting","1092.36168",,,,"3.5596726081319896","487.7060000000001","498.26025000000004","49.89702194688109"
Bharat Parenterals Ltd,BPLPHARMA,"Pharmaceuticals","1084.55882481","52.3644089935144","0.890467443686137","0.135280272908489","3.7937161565179465","1567.7134999999998","1275.592","53.177682096261606"
SPEL Semiconductor Ltd,SPELS,"Electronic Equipments","1082.606974425","100.101625559239","1.83712099612109","0.194526169352821","4.060648422121502","183.653","140.86625","56.919353474894585"
Krystal Integrated Services Ltd,KRYSTAL,"Business Support Services","1080.8702067200002",,,,"3.8896424613201774","753.9349999999998",,"54.52231051098312"
State Trading Corporation of India Ltd,STCINDIA,"Commodities Trading","1080.78","14.529084720921","1.56120067616287","0.058769651072616","4.664720611039449","170.6638","159.4959","65.3868184881326"
Primo Chemicals Ltd,PRIMO,"Commodity Chemicals","1075.27686714","24.1903393315123","0.403943302109884","0.053599292298345","3.3745679017136117","40.339700000000015","42.666850000000004","47.30235254455208"
Jaykay Enterprises Ltd,JAYKAY,"Investment Banking & Brokerage","1075.0368823200001","39.5583376138518","1.06572642977845","0.100993833033731","3.585455543530919","86.27423069477591","79.74128989657919","50.258429254540914"
Jagsonpal Pharmaceuticals Ltd,JAGSNPHARM,"Pharmaceuticals","1073.761849935","32.4332420034307","1.72952727631133","0.098968399636476","3.177212518210541","360.50949999999995","352.05224999999996","44.53596164683537"
Nahar Spinning Mills Ltd,NAHARSPING,"Textiles","1072.22145819","-6.81597968660284","1.70074434019545","-0.026158317290679","3.212808229698369","299.774","298.38400000000007","45.03491764443624"
Linc Ltd,LINC,"Stationery","1071.99473528","39.0467283514624","0.484443307874149","0.126319176530533","3.073414508564814","602.9925000000001","605.18275","43.08099313273561"
Jaybharat Textiles and Real Estate Ltd,JAYTEX,"Textiles","1071.945",,,,"1.259897987755101",,,"17.660376238599472"
Alphalogic Techsys Ltd,ALPHALOGIC,"Software Services","1069.087008375","127.44601409005","-0.054659505090588","0.199881692871694","3.8284108686014626","207.22081612903224","135.09991774193549","53.66400850906629"
Mindteck (India) Ltd,MINDTECK,"IT Services & Consulting","1065.47824845","56.9700202936948","1.61727543580158","0.128754093667335","4.9063527269310265","344.8799999999999","289.28849999999994","68.77384991404801"
Oswal Agro Mills Ltd,OSWALAGRO,"Real Estate","1065.018712784","55.4690624319604","1.19860569543105","0.136620588299257","4.61307276997578","51.01029999999999","46.194400000000016","64.66285487047415"
Revathi Equipment India ltd,REVATHIEQU,"Industrial Machinery","1062.925770225",,,,"2.954387743158217",,,"41.41255848169732"
Naperol Investments Ltd,NAPEROL,"Asset Management & Custody Banks","1062.131805","3.80880179704043","1.27200213061399","0.005707501997738","3.8967622431517817","1093.8565000000008","1037.604999999999","54.62211067504793"
