Name,Ticker,"Sub-Sector","Market Cap","Close Price","1W Return","1M Return","6M Return","1Y Return","1W Change in Volume","1M Average Volume","3M Average Volume","1W Return vs Nifty","1M Return vs Nifty","6M Return vs Nifty","1Y Return vs Nifty","% Away From 52W High","% Away From 52W Low","5Y CAGR"
Star Cement Ltd,STARCEMENT,"Cement","8808.303827681","217.93","-0.6821848352154828","1.4119640419823976","7.090909090909094","35.52860696517413","301.89507794824317","526171.5","509211.9846153846","-2.5245947764437635","-1.9961892026699426","-7.970276906361447","9.480964502189916","17.46891203597485","48.251700680272116","19.29496010283316"
Karnataka Bank Ltd,KTKBANK,"Private Banks","8770.977756425","232.25","5.773410614019199","7.1513761467889925","2.9933481152993346","-3.2291666666666665","-49.85915791870132","2427146.7916666665","2326676.2","3.931000672790918","3.7432229021366523","-12.067837881971208","-29.27680912965088","23.379978471474704","20.963541666666675","26.998935148194892"
Texmaco Rail & Engineering Ltd,TEXRAIL,"Rail","8711.183454714","218.07","-2.3286467486818907","-12.342271293375388","30.541753965878467","59.29145361577793","8.238813106684018","2012339.875","5919741.615384615","-4.171056689910172","-15.750424538027728","15.480567968607925","33.243811152793725","35.96092997661302","96.99186991869917","36.809704668245956"
Archean Chemical Industries Ltd,ACI,"Commodity Chemicals","8692.08249636","704.4","-3.24585635359116","-7.206252483772683","14.6484375","16.50678134303671","10.97191957866135","544864.8333333334","975881.8153846153","-5.088266294819441","-10.614405728425023","-0.41274849727054175","-9.5408611199475","18.923906871095973","38.10410744044701",
Va Tech Wabag Ltd,WABAG,"Water Management","8690.179456580001","1397.35","1.3274981765134972","4.75831385265064","98.44493360789605","193.2348284960422","-46.35604632372745","440469.25","627122.21875","-0.5149117647147836","1.3501606079983","83.3837476106255","167.187186033058","3.370665903317005","220.89792169020552","37.92069393069164"
JSW Holdings Ltd,JSWHL,"Asset Management","8688.21805408","7829.3","0.9292407108239048","18.55236591623274","19.450144558277206","66.2942588305261","41.41843971631206","7612.666666666667","8562.430769230768","-0.913169230404376","15.144212671580402","4.388958561006664","40.24661636754189","5.373405029823863","77.53514739229026","22.816187195915095"
Tips Music Ltd,TIPSINDLTD,"Movies & TV Serials","8683.5999087","679.3","-6.252147028512539","-10.135669125395157","44.270999256663465","113.9527559055118","-20.850899323133117","335939.0833333333","509170.8307692308","-8.09455696974082","-13.543822370047497","29.209813259392924","87.90511344252758","15.55277491535405","138.01681850035038","149.6494967867766"
Kotak Nifty Bank ETF,BANKNIFTY1,"Equity","8642.347920388","540.26","1.7295716889428943","2.7261747282452458","13.664766152616185","15.225968818649088","168.2576487593351","210218.95833333334","155762.0923076923","-0.11283825228538658","-0.6819785164070944","-1.396419844654357","-10.821673644335123","2.2470662273720077","25.896581455502997","14.139795182590365"
Varroc Engineering Ltd,VARROC,"Auto Parts","8624.028348","564.45","-5.452800558366777","0.5287569573283901","15.594921155027654","19.29620627707917","263.41079516946064","731391.25","455925.828125","-7.295210499595058","-2.8793962873239503","0.5337351577571123","-6.7514361859050425","25.39640357870492","30.357967667436505","4.6969141864338315"
Astra Microwave Products Ltd,ASTRAMICRO,"Communication & Networking","8591.09904888","904.85","2.242152466367713","2.8706784727313797","61.82598587141198","113.65997638724912","-73.57140636754183","347497.4166666667","513821.1384615385","0.399742525139432","-0.5374747719209605","46.76479987414144","87.6123339242649","17.035972813173462","123.41975308641975","64.92750423750908"
Rajesh Exports Ltd,RAJESHEXPO,"Precious Metals, Jewellery & Watches","8569.920309975","290.25","-0.5260478533853571","0.7043463322453225","-0.9723643807574284","-44.850845525365756","32.00818435208692","509102.6666666667","993556.5538461539","-2.368457794613638","-2.7038069124070176","-16.03355037802797","-70.89848798834997","82.60120585701982","11.206896551724132","-15.536716812005613"
Sansera Engineering Ltd,SANSERA,"Auto Parts","8561.97425344","1585.6","9.738139890254917","6.894451962110967","64.48985943254317","65.71040392956051","-7.202885979676362","164502.29166666666","222834.63076923077","7.895729949026636","3.486298717458627","49.42867343527263","39.6627614665763","1.3685671039354252","93.24801950030468",
Kama Holdings Ltd,KAMAHOLD,"Conglomerates","8557.59363525","2666.7","-3.5048745111718955","-4.370451237263461","6.5124917620274285","-13.984633546863824","151.50462962962962","5278.625","7820.830769230769","-5.347284452400176","-7.778604481915801","-8.548694235243113","-40.03227600984803","31.248359395507563","13.524904214559385","21.673902611467533"
Epigral Ltd,EPIGRAL,"Commodity Chemicals","8538.97297058","2055.1","-7.335817958749037","8.591270379513327","97.58677050283627","104.12197059992054","-41.1538492320744","138087.45833333334","172055.07692307694","-9.178227899977317","5.1831171348609875","82.52558450556573","78.07432813693633","6.0118729015619765","135.64958147001488",
Sundaram Finance Holdings Ltd,SUNDARMHLD,"Diversified Financials","8538.56721222","386.9","-3.288471305231079","34.078507305051936","107.84313725490193","231.24999999999997","26.72505962661403","378485.75","242536.1846153846","-5.13088124645936","30.670354060399596","92.78195125763139","205.20235753701576","11.915223571982425","242.99645390070918","41.48135640059984"
Transport Corporation of India Ltd,TCI,"Logistics","8523.940018275","1094.55","-2.5509072357038285","6.942551119766305","38.87584850599505","40.28196090996475","54.440341650814965","91119.75","78932.84615384616","-4.3933171769321095","3.534397875113965","23.81466250872451","14.234318446980541","13.105842583710213","44.466442288655706","32.34857019247623"
Juniper Hotels Ltd,JUNIPER,"Hotels, Resorts & Cruise Lines","8522.953819119999","383.05","-1.2533572068039334","-1.4298480786416357","-16.601349880252556","-4.5952677459526745","-49.77903699057753","148612.04166666666","191303.5076923077","-3.0957671480322144","-4.838001323293976","-31.662535877523098","-30.642910208936886","40.51690379845974","4.945205479452053",
Procter & Gamble Health Ltd,PGHL,"Pharmaceuticals","8499.54755928","5120.4","-3.2880952830366716","-1.0410228677379585","4.464914159806581","3.9854594193921797","-93.33112778812836","10961.291666666666","9912.661538461538","-5.130505224264953","-4.449176112390298","-10.596271837463961","-22.062183043592032","10.203304429341475","10.435560923531483","3.1219359429966342"
